postcode,regional_category,irsd_score,irsd_decile,seifa_population,total_population,median_hhd_income_weekly,median_mortgage_monthly,median_rent_weekly,one_parent_families,total_families,total_mortgage_dwellings,total_rental_dwellings,total_unemployed,total_labour_force,unemployment_rate,single_parent_pct,rent_to_income_ratio,unemployment_rate_log,rent_to_income_ratio_log,total_population_log,rent_to_income_winsor,rent_to_income_final,unemployment_rate_sqrt,cluster,risk_profile
3302,Regional Centres and Other Regional Areas,1027.0551577,7,356.0,356.0,1092.0,170.0,1442.0,28.0,288.0,47.0,10.0,9.0,196.0,0.0459,0.0972,1.3205,0.04487775877808546,0.8417826796990935,5.877735781779639,1.3205,0.8417826796990935,0.2142428528562855,3,medium-high
3303,Regional Centres and Other Regional Areas,981.14194398,4,282.0,282.0,1042.0,185.0,1607.0,16.0,221.0,36.0,14.0,9.0,163.0,0.0552,0.0724,1.5422,0.05373032242096779,0.9330298478784315,5.645446897643238,1.5422,0.9330298478784315,0.2349468024894146,3,medium-high
3304,Regional Centres and Other Regional Areas,940.03590153,2,2786.0,2786.0,952.0,180.0,1146.0,308.0,1971.0,344.0,176.0,45.0,1228.0,0.0366,0.1563,1.2038,0.035946126773469124,0.7901831430715396,7.932721027481948,1.2038,0.7901831430715396,0.19131126469708992,0,high
3305,Regional Centres and Other Regional Areas,944.65119551,3,13344.0,13344.0,1170.0,250.0,1248.0,1515.0,9853.0,1708.0,1214.0,297.0,6132.0,0.0484,0.1538,1.0667,0.04726519246711422,0.7259531322851228,9.498897061838624,1.0667,0.7259531322851228,0.22,0,high
3309,Regional Centres and Other Regional Areas,986.9760006,5,122.0,122.0,520.0,120.0,1041.0,28.0,97.0,15.0,4.0,0.0,43.0,0.0,0.2887,2.0019,0.0,1.0992454215305263,4.812184355372417,2.0019,1.0992454215305263,0.0,1,medium-low
3310,Regional Centres and Other Regional Areas,940.7534371,2,263.0,263.0,698.0,100.0,789.0,23.0,175.0,34.0,11.0,11.0,119.0,0.0924,0.1314,1.1304,0.0883771106174129,0.7563097555175855,5.575949103146316,1.1304,0.7563097555175855,0.30397368307141326,3,medium-high
3311,Regional Centres and Other Regional Areas,936.96824061,2,1707.0,1707.0,700.0,160.0,887.0,155.0,1112.0,164.0,110.0,32.0,676.0,0.0473,0.1394,1.2671,0.04621542379696299,0.8185014817126468,7.443078374348515,1.2671,0.8185014817126468,0.21748563170931545,0,high
3312,Regional Centres and Other Regional Areas,1020.4595592,7,1023.0,1023.0,800.0,120.0,1408.0,67.0,783.0,104.0,36.0,10.0,540.0,0.0185,0.0856,1.76,0.018330956684723457,1.0152306797290587,6.931471805599453,1.76,1.0152306797290587,0.13601470508735444,3,medium-high
3314,Regional Centres and Other Regional Areas,1040.4670947,8,569.0,569.0,1083.0,175.0,1656.0,40.0,445.0,53.0,31.0,5.0,302.0,0.0166,0.0899,1.5291,0.01646372603066508,0.9278635082267708,6.345636360828596,1.5291,0.9278635082267708,0.12884098726725127,3,medium-high
3315,Regional Centres and Other Regional Areas,978.61098522,4,1686.0,1686.0,700.0,145.0,1068.0,165.0,1175.0,158.0,96.0,30.0,797.0,0.0376,0.1404,1.5257,0.036910354020097076,0.9265182520295909,7.430707082545968,1.5257,0.9265182520295909,0.19390719429665315,3,medium-high
3317,Regional Centres and Other Regional Areas,999.34601848,5,184.0,184.0,487.0,85.0,1550.0,18.0,136.0,21.0,7.0,5.0,97.0,0.0515,0.1324,3.1828,0.05021771616061742,1.4309808787422966,5.220355825078325,3.1828,1.4309808787422966,0.22693611435820435,3,medium-high
3318,Regional Centres and Other Regional Areas,967.34184494,3,1243.0,1243.0,867.0,162.0,1011.0,99.0,824.0,117.0,98.0,23.0,565.0,0.0407,0.1201,1.1661,0.039893563661676665,0.7729283155647954,7.126087273299125,1.1661,0.7729283155647954,0.20174241001832013,3,medium-high
3319,Regional Centres and Other Regional Areas,983.60130825,4,410.0,410.0,503.0,113.0,1333.0,17.0,264.0,44.0,19.0,6.0,191.0,0.0314,0.0644,2.6501,0.030917102634721517,1.294754564479376,6.018593214496234,2.6501,1.294754564479376,0.1772004514666935,3,medium-high
3321,Regional Centres and Other Regional Areas,1080.649442,10,1780.0,1780.0,1949.0,300.0,2146.0,86.0,1587.0,327.0,33.0,19.0,954.0,0.0199,0.0542,1.1011,0.019704583274335403,0.7424610171128664,7.484930283289661,1.1011,0.7424610171128664,0.14106735979665885,2,low
3322,Regional Centres and Other Regional Areas,1000.4461738,5,176.0,176.0,917.0,250.0,857.0,21.0,126.0,27.0,5.0,4.0,73.0,0.0548,0.1667,0.9346,0.05335117549699457,0.6599005867663096,5.176149732573829,0.9346,0.6599005867663096,0.2340939982143925,3,medium-high
3323,Regional Centres and Other Regional Areas,1003.3264298,6,91.0,91.0,1000.0,200.0,1354.0,9.0,70.0,3.0,0.0,0.0,50.0,0.0,0.1286,1.354,0.0,0.856116008838085,4.5217885770490405,1.354,0.856116008838085,0.0,1,medium-low
3324,Regional Centres and Other Regional Areas,941.70484606,2,577.0,577.0,650.0,150.0,977.0,41.0,403.0,70.0,45.0,16.0,282.0,0.0567,0.1017,1.5031,0.05515084446484804,0.917529963709106,6.359573868672378,1.5031,0.917529963709106,0.23811761799581316,3,medium-high
3325,Regional Centres and Other Regional Areas,972.96413287,4,456.0,456.0,861.0,150.0,985.0,17.0,319.0,44.0,27.0,4.0,197.0,0.0203,0.0533,1.144,0.02009670169912241,0.7626732432085555,6.124683390894205,1.144,0.7626732432085555,0.14247806848775008,3,medium-high
3328,Cities and Major Regional Centres,1065.4840406,9,2308.0,2308.0,1950.0,400.0,2171.0,139.0,2037.0,441.0,38.0,22.0,1181.0,0.0186,0.0682,1.1133,0.01842913546836719,0.7482507067859694,7.744569809354496,1.1133,0.7482507067859694,0.13638181696985854,2,low
3329,Regional Centres and Other Regional Areas,1000.0237732,5,309.0,309.0,1315.0,300.0,1702.0,29.0,268.0,43.0,12.0,7.0,176.0,0.0398,0.1082,1.2943,0.039028386967478346,0.830427786093979,5.736572297479192,1.2943,0.830427786093979,0.19949937343260005,3,medium-high
3330,Cities and Major Regional Centres,1000.4699317,5,208.0,208.0,867.0,215.0,1286.0,19.0,157.0,26.0,7.0,0.0,97.0,0.0,0.121,1.4833,0.0,0.9095883208144797,5.342334251964811,1.4833,0.9095883208144797,0.0,1,medium-low
3331,Cities and Major Regional Centres,1050.790977,8,7202.0,7202.0,1850.0,390.0,2059.0,623.0,6315.0,1296.0,244.0,102.0,3700.0,0.0276,0.0987,1.113,0.027225986253591457,0.7481087386339197,8.882252884889363,1.113,0.7481087386339197,0.1661324772583615,2,low
3332,Cities and Major Regional Centres,1031.1476109,7,1181.0,1181.0,1733.0,350.0,1955.0,99.0,991.0,194.0,34.0,21.0,619.0,0.0339,0.0999,1.1281,0.03333805961051037,0.7552295628564889,7.074963197966044,1.1281,0.7552295628564889,0.1841195263952197,2,low
