postcode,regional_category,state
3463,Regional Centres and Other Regional Areas,VIC
3464,Regional Centres and Other Regional Areas,VIC
3465,Regional Centres and Other Regional Areas,VIC
3466,Regional Centres and Other Regional Areas,VIC
3467,Regional Centres and Other Regional Areas,VIC
3468,Regional Centres and Other Regional Areas,VIC
3469,Regional Centres and Other Regional Areas,VIC
3470,Regional Centres and Other Regional Areas,VIC
3471,Regional Centres and Other Regional Areas,VIC
3472,Regional Centres and Other Regional Areas,VIC
3473,Regional Centres and Other Regional Areas,VIC
3474,Regional Centres and Other Regional Areas,VIC
3475,Regional Centres and Other Regional Areas,VIC
3476,Regional Centres and Other Regional Areas,VIC
3477,Regional Centres and Other Regional Areas,VIC
3478,Regional Centres and Other Regional Areas,VIC
3479,Regional Centres and Other Regional Areas,VIC
3480,Regional Centres and Other Regional Areas,VIC
3481,Regional Centres and Other Regional Areas,VIC
3482,Regional Centres and Other Regional Areas,VIC
3483,Regional Centres and Other Regional Areas,VIC
3484,Regional Centres and Other Regional Areas,VIC
3485,Regional Centres and Other Regional Areas,VIC
3486,Regional Centres and Other Regional Areas,VIC
3487,Regional Centres and Other Regional Areas,VIC
3488,Regional Centres and Other Regional Areas,VIC
3489,Regional Centres and Other Regional Areas,VIC
3490,Regional Centres and Other Regional Areas,VIC
3491,Regional Centres and Other Regional Areas,VIC
3492,Regional Centres and Other Regional Areas,VIC
3493,Regional Centres and Other Regional Areas,VIC
3494,Regional Centres and Other Regional Areas,VIC
3495,Regional Centres and Other Regional Areas,VIC
3496,Regional Centres and Other Regional Areas,VIC
3497,Regional Centres and Other Regional Areas,VIC
3498,Regional Centres and Other Regional Areas,VIC
3499,Regional Centres and Other Regional Areas,VIC
3500,Regional Centres and Other Regional Areas,VIC
3501,Regional Centres and Other Regional Areas,VIC
3502,Regional Centres and Other Regional Areas,VIC
3503,Regional Centres and Other Regional Areas,VIC
3504,Regional Centres and Other Regional Areas,VIC
3505,Regional Centres and Other Regional Areas,VIC
3506,Regional Centres and Other Regional Areas,VIC
3507,Regional Centres and Other Regional Areas,VIC
3508,Regional Centres and Other Regional Areas,VIC
3509,Regional Centres and Other Regional Areas,VIC
3510,Regional Centres and Other Regional Areas,VIC
3511,Regional Centres and Other Regional Areas,VIC
3512,Regional Centres and Other Regional Areas,VIC
3513,Regional Centres and Other Regional Areas,VIC
3514,Regional Centres and Other Regional Areas,VIC
3515,Regional Centres and Other Regional Areas,VIC
3516,Regional Centres and Other Regional Areas,VIC
3517,Regional Centres and Other Regional Areas,VIC
3518,Regional Centres and Other Regional Areas,VIC
3519,Regional Centres and Other Regional Areas,VIC
3520,Regional Centres and Other Regional Areas,VIC
3521,Regional Centres and Other Regional Areas,VIC
3522,Regional Centres and Other Regional Areas,VIC
3523,Regional Centres and Other Regional Areas,VIC
3524,Regional Centres and Other Regional Areas,VIC
3525,Regional Centres and Other Regional Areas,VIC
3526,Regional Centres and Other Regional Areas,VIC
3527,Regional Centres and Other Regional Areas,VIC
3528,Regional Centres and Other Regional Areas,VIC
3529,Regional Centres and Other Regional Areas,VIC
3530,Regional Centres and Other Regional Areas,VIC
3531,Regional Centres and Other Regional Areas,VIC
3532,Regional Centres and Other Regional Areas,VIC
3533,Regional Centres and Other Regional Areas,VIC
3534,Regional Centres and Other Regional Areas,VIC
3535,Regional Centres and Other Regional Areas,VIC
3536,Regional Centres and Other Regional Areas,VIC
3537,Regional Centres and Other Regional Areas,VIC
3538,Regional Centres and Other Regional Areas,VIC
3539,Regional Centres and Other Regional Areas,VIC
3540,Regional Centres and Other Regional Areas,VIC
3541,Regional Centres and Other Regional Areas,VIC
3542,Regional Centres and Other Regional Areas,VIC
3543,Regional Centres and Other Regional Areas,VIC
3544,Regional Centres and Other Regional Areas,VIC
3545,Regional Centres and Other Regional Areas,VIC
3546,Regional Centres and Other Regional Areas,VIC
3547,Regional Centres and Other Regional Areas,VIC
3548,Regional Centres and Other Regional Areas,VIC
3549,Regional Centres and Other Regional Areas,VIC
3550,Regional Centres and Other Regional Areas,VIC
3551,Regional Centres and Other Regional Areas,VIC
3552,Regional Centres and Other Regional Areas,VIC
3553,Regional Centres and Other Regional Areas,VIC
3554,Regional Centres and Other Regional Areas,VIC
3555,Regional Centres and Other Regional Areas,VIC
3556,Regional Centres and Other Regional Areas,VIC
3557,Regional Centres and Other Regional Areas,VIC
3558,Regional Centres and Other Regional Areas,VIC
3559,Regional Centres and Other Regional Areas,VIC
3560,Regional Centres and Other Regional Areas,VIC
3561,Regional Centres and Other Regional Areas,VIC
3562,Regional Centres and Other Regional Areas,VIC
3563,Regional Centres and Other Regional Areas,VIC
3564,Regional Centres and Other Regional Areas,VIC
3565,Regional Centres and Other Regional Areas,VIC
3566,Regional Centres and Other Regional Areas,VIC
3567,Regional Centres and Other Regional Areas,VIC
3568,Regional Centres and Other Regional Areas,VIC
3569,Regional Centres and Other Regional Areas,VIC
3570,Regional Centres and Other Regional Areas,VIC
3571,Regional Centres and Other Regional Areas,VIC
3572,Regional Centres and Other Regional Areas,VIC
3573,Regional Centres and Other Regional Areas,VIC
3574,Regional Centres and Other Regional Areas,VIC
3575,Regional Centres and Other Regional Areas,VIC
3576,Regional Centres and Other Regional Areas,VIC
3577,Regional Centres and Other Regional Areas,VIC
3578,Regional Centres and Other Regional Areas,VIC
3579,Regional Centres and Other Regional Areas,VIC
3580,Regional Centres and Other Regional Areas,VIC
3581,Regional Centres and Other Regional Areas,VIC
3582,Regional Centres and Other Regional Areas,VIC
3583,Regional Centres and Other Regional Areas,VIC
3584,Regional Centres and Other Regional Areas,VIC
3585,Regional Centres and Other Regional Areas,VIC
3586,Regional Centres and Other Regional Areas,VIC
3587,Regional Centres and Other Regional Areas,VIC
3588,Regional Centres and Other Regional Areas,VIC
3589,Regional Centres and Other Regional Areas,VIC
3590,Regional Centres and Other Regional Areas,VIC
3591,Regional Centres and Other Regional Areas,VIC
3592,Regional Centres and Other Regional Areas,VIC
3593,Regional Centres and Other Regional Areas,VIC
3594,Regional Centres and Other Regional Areas,VIC
3595,Regional Centres and Other Regional Areas,VIC
3596,Regional Centres and Other Regional Areas,VIC
3597,Regional Centres and Other Regional Areas,VIC
3598,Regional Centres and Other Regional Areas,VIC
3599,Regional Centres and Other Regional Areas,VIC
3600,Regional Centres and Other Regional Areas,VIC
3601,Regional Centres and Other Regional Areas,VIC
3602,Regional Centres and Other Regional Areas,VIC
3603,Regional Centres and Other Regional Areas,VIC
3604,Regional Centres and Other Regional Areas,VIC
3605,Regional Centres and Other Regional Areas,VIC
3606,Regional Centres and Other Regional Areas,VIC
3607,Regional Centres and Other Regional Areas,VIC
3608,Regional Centres and Other Regional Areas,VIC
3609,Regional Centres and Other Regional Areas,VIC
3610,Regional Centres and Other Regional Areas,VIC
3611,Regional Centres and Other Regional Areas,VIC
3612,Regional Centres and Other Regional Areas,VIC
3613,Regional Centres and Other Regional Areas,VIC
3614,Regional Centres and Other Regional Areas,VIC
3615,Regional Centres and Other Regional Areas,VIC
3616,Regional Centres and Other Regional Areas,VIC
3617,Regional Centres and Other Regional Areas,VIC
3618,Regional Centres and Other Regional Areas,VIC
3619,Regional Centres and Other Regional Areas,VIC
3620,Regional Centres and Other Regional Areas,VIC
3621,Regional Centres and Other Regional Areas,VIC
3622,Regional Centres and Other Regional Areas,VIC
3623,Regional Centres and Other Regional Areas,VIC
3624,Regional Centres and Other Regional Areas,VIC
3625,Regional Centres and Other Regional Areas,VIC
3626,Regional Centres and Other Regional Areas,VIC
3627,Regional Centres and Other Regional Areas,VIC
3628,Regional Centres and Other Regional Areas,VIC
3629,Regional Centres and Other Regional Areas,VIC
3630,Regional Centres and Other Regional Areas,VIC
3631,Regional Centres and Other Regional Areas,VIC
3632,Regional Centres and Other Regional Areas,VIC
3633,Regional Centres and Other Regional Areas,VIC
3634,Regional Centres and Other Regional Areas,VIC
3635,Regional Centres and Other Regional Areas,VIC
3636,Regional Centres and Other Regional Areas,VIC
3637,Regional Centres and Other Regional Areas,VIC
3638,Regional Centres and Other Regional Areas,VIC
3639,Regional Centres and Other Regional Areas,VIC
3640,Regional Centres and Other Regional Areas,VIC
3641,Regional Centres and Other Regional Areas,VIC
3642,Regional Centres and Other Regional Areas,VIC
3643,Regional Centres and Other Regional Areas,VIC
3644,Regional Centres and Other Regional Areas,VIC
3645,Regional Centres and Other Regional Areas,VIC
3646,Regional Centres and Other Regional Areas,VIC
3647,Regional Centres and Other Regional Areas,VIC
3648,Regional Centres and Other Regional Areas,VIC
3649,Regional Centres and Other Regional Areas,VIC
3650,Regional Centres and Other Regional Areas,VIC
3651,Regional Centres and Other Regional Areas,VIC
3652,Regional Centres and Other Regional Areas,VIC
3653,Regional Centres and Other Regional Areas,VIC
3654,Regional Centres and Other Regional Areas,VIC
3655,Regional Centres and Other Regional Areas,VIC
3656,Regional Centres and Other Regional Areas,VIC
3657,Regional Centres and Other Regional Areas,VIC
3658,Regional Centres and Other Regional Areas,VIC
3659,Regional Centres and Other Regional Areas,VIC
3660,Regional Centres and Other Regional Areas,VIC
3661,Regional Centres and Other Regional Areas,VIC
3662,Regional Centres and Other Regional Areas,VIC
3663,Regional Centres and Other Regional Areas,VIC
3664,Regional Centres and Other Regional Areas,VIC
3665,Regional Centres and Other Regional Areas,VIC
3666,Regional Centres and Other Regional Areas,VIC
3667,Regional Centres and Other Regional Areas,VIC
3668,Regional Centres and Other Regional Areas,VIC
3669,Regional Centres and Other Regional Areas,VIC
3670,Regional Centres and Other Regional Areas,VIC
3671,Regional Centres and Other Regional Areas,VIC
3672,Regional Centres and Other Regional Areas,VIC
3673,Regional Centres and Other Regional Areas,VIC
3674,Regional Centres and Other Regional Areas,VIC
3675,Regional Centres and Other Regional Areas,VIC
3676,Regional Centres and Other Regional Areas,VIC
3677,Regional Centres and Other Regional Areas,VIC
3678,Regional Centres and Other Regional Areas,VIC
3679,Regional Centres and Other Regional Areas,VIC
3680,Regional Centres and Other Regional Areas,VIC
3681,Regional Centres and Other Regional Areas,VIC
3682,Regional Centres and Other Regional Areas,VIC
3683,Regional Centres and Other Regional Areas,VIC
3684,Regional Centres and Other Regional Areas,VIC
3685,Regional Centres and Other Regional Areas,VIC
3686,Regional Centres and Other Regional Areas,VIC
3687,Regional Centres and Other Regional Areas,VIC
3688,Regional Centres and Other Regional Areas,VIC
3689,Regional Centres and Other Regional Areas,VIC
3690,Regional Centres and Other Regional Areas,VIC
3691,Regional Centres and Other Regional Areas,VIC
3692,Regional Centres and Other Regional Areas,VIC
3693,Regional Centres and Other Regional Areas,VIC
3694,Regional Centres and Other Regional Areas,VIC
3695,Regional Centres and Other Regional Areas,VIC
3696,Regional Centres and Other Regional Areas,VIC
3697,Regional Centres and Other Regional Areas,VIC
3698,Regional Centres and Other Regional Areas,VIC
3699,Regional Centres and Other Regional Areas,VIC
3700,Regional Centres and Other Regional Areas,VIC
3701,Regional Centres and Other Regional Areas,VIC
3702,Regional Centres and Other Regional Areas,VIC
3703,Regional Centres and Other Regional Areas,VIC
3704,Regional Centres and Other Regional Areas,VIC
3705,Regional Centres and Other Regional Areas,VIC
